asin,product_name,amazon_product_name,amazon_product_url
B082XGL21J,Gorilla Clear Gorilla Glue,"Gorilla Super Glue Gel XL, 25 Gram, Clear, (Pack of 1)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB082XGL21J
B07GQ1CT47,Gorilla Clear Gorilla Glue,"Gorilla Clear Glue, 5.75 Ounce Bottle, Clear",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07GQ1CT47
B07MWR845K,Gorilla Clear Gorilla Glue,"Gorilla Super Glue Gel, 20 Gram, Clear, (Pack of 2)",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07MWR845K
B08NYCG2CV,Huggies Little Snugglers Baby Diapers Size 1,"Huggies Little Snugglers Baby Diapers, Size 4, 140 Ct, One Month Supply (2Pack) with Gift Card",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08NYCG2CV
B08NYBT9XJ,Huggies Little Snugglers Baby Diapers Size 1,"Huggies Little Snugglers Baby Diapers, Size 3, 156 Ct & Size 4, 140 Ct, One Month Supply with Gift Card",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08NYBT9XJ
B07VY9JFR1,Huggies Little Snugglers Baby Diapers Size 1,"Baby Diapers Size 2 (12-18 lbs), 148ct, Huggies Little Snugglers",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07VY9JFR1
B07M6FL57T,Huggies Little Snugglers Baby Diapers Size 1,"Baby Diapers Size Newborn (up to 10 lbs), 31ct, Huggies Little Snugglers",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07M6FL57T
B07MYJFN51,Huggies Little Snugglers Baby Diapers Size 1,"Baby Diapers Size 1, 76ct, Huggies Little Snugglers, Gentle Skin Protection",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07MYJFN51
B08NYC1QTF,Huggies Little Snugglers Baby Diapers Size 1,"Huggies Little Snugglers Baby Diapers, Size 3, 156 Ct, One Month Supply (2Pack) with Gift Card",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08NYC1QTF
B08NY9Q519,Huggies Little Snugglers Baby Diapers Size 1,"Huggies Little Snugglers Baby Diapers, Size 1, 198 Ct & Size 2, 180 Ct, One Month Supply with Gift Card",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08NY9Q519
B08NYD33SY,Huggies Little Snugglers Baby Diapers Size 1,"Huggies Little Snugglers Baby Diapers, Size 2, 180 Ct & Size 3, 156 Ct, One Month Supply with Gift Card",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08NYD33SY
B07MB5PZBF,Huggies Little Snugglers Baby Diapers Size 1,"Baby Diapers Size 1 (8-14 lbs), 32ct, Huggies Little Snugglers",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07MB5PZBF
B08NYCM13F,Huggies Little Snugglers Baby Diapers Size 1,"Huggies Little Snugglers Baby Diapers, Size 1, 198 Ct, One Month Supply (2Pack) with Gift Card",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08NYCM13F
B09NS37ZHX,Huggies Little Snugglers Baby Diapers Size 1,"Baby Diapers Size 1 (8-14 lbs), 84ct, Huggies Little Snugglers Newborn Diapers",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB09NS37ZHX
B07RTX63G3,Huggies Little Snugglers Baby Diapers Size 1,"Huggies Little Snugglers Baby Diapers, Size 1, 32 Ct",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07RTX63G3
B07MP6VXRN,Huggies Little Snugglers Baby Diapers Size 1,"Baby Diapers Size 1 (8-14 lbs), 198ct, Huggies Little Snugglers Newborn Diapers",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB07MP6VXRN
B08TGTV51B,Huggies Little Snugglers Baby Diapers Size 1,"Newborn Baby Diapers (128ct) & Size 1 (198ct), Huggies Little Snugglers",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08TGTV51B
B08THCW4TL,Huggies Little Snugglers Baby Diapers Size 1,"Baby Diapers Size 1, 198 Ct & Diapers Size 2, 180 Ct, Huggies Little Snugglers",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB08THCW4TL
B086583BTT,Filtrete Smart Allergen Bacteria & Virus Furnace AC Air Filter MPR 1500,"Filtrete Smart Filter 14 x 20 x 1 MPR 1500 Allergen, Bacteria & Virus AC Furnace Air Filter 2-Pack and Amazon Dash Replenishment Digital Setup Guide",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB086583BTT
B0B5B8348M,Maxi-Cosi Magellan LiftFit All-in-One Convertible Car Seat,"Maxi-Cosi Magellan LiftFit All-in-One Convertible Car Seat, 5-in-1 Seating System for Children from Birth to 10 Years (5-100 lbs), Essential Graphite",https://api.scrapingant.com/v2/general?x-api-key=69b042b0a8904084ab2ff389fb8b5010&url=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB0B5B8348M
